folder name,yt link,status
@zeintnplaychannel,https://www.youtube.com/@zeintnplaychannel/shorts,
@bombom701,https://www.youtube.com/@bombom701/shorts,
@riajenaka62,https://www.youtube.com/@riajenaka62/shorts,
@MangoTVIndonesia,https://www.youtube.com/@MangoTVIndonesia/shorts,
@memelucu912,https://www.youtube.com/@memelucu912/shorts,
@KumpulanVidioLucu62,https://www.youtube.com/@KumpulanVidioLucu62/shorts,
@SukeniEntertainment,https://www.youtube.com/@SukeniEntertainment/shorts,
@Fozzox,https://www.youtube.com/@Fozzox/shorts,
@SutradaraKampung,https://www.youtube.com/@SutradaraKampung/shorts,
@FANDOSTORY,https://www.youtube.com/@FANDOSTORY/shorts,
@Yourdudh,https://www.youtube.com/@Yourdudh/shorts,
@VviRaLchannel,https://www.youtube.com/@VviRaLchannel/shorts,
@ndelodogtv,https://www.youtube.com/@ndelodogtv/shorts,
@AisyriaFZD,https://www.youtube.com/@AisyriaFZD/shorts,
@WargaKita04,https://www.youtube.com/@WargaKita04/shorts,
@watonguyumaseh,https://www.youtube.com/@watonguyumaseh/shorts,
@ananta.official,https://www.youtube.com/@ananta.official/shorts,
@Kapan_ketawa,https://www.youtube.com/@Kapan_ketawa/shorts,
@RianBARBAR666,https://www.youtube.com/@RianBARBAR666/shorts,
@nakappan,https://www.youtube.com/@nakappan/shorts,
@PDTechCCTV,https://www.youtube.com/@PDTechCCTV/shorts,
@Cinta.Maerina,https://www.youtube.com/@Cinta.Maerina/shorts,
@Tekotok,https://www.youtube.com/@Tekotok/shorts,
@Mainhakimsendirinet,https://www.youtube.com/@Mainhakimsendirinet/shorts,
@KEMEKELTV,https://www.youtube.com/@KEMEKELTV/shorts,
@PELDICHANNEL,https://www.youtube.com/@PELDICHANNEL/shorts,
@cahmbuntu,https://www.youtube.com/@cahmbuntu/shorts,
@ceritaqonita,https://www.youtube.com/@ceritaqonita/shorts,
@umar.18,https://www.youtube.com/@umar.18/shorts,
@daniarbogeboge,https://www.youtube.com/@daniarbogeboge/shorts,
@popygarage1542,https://www.youtube.com/@popygarage1542/shorts,
@argint3095,https://www.youtube.com/@argint3095/shorts,
@balapmotortv,https://www.youtube.com/@balapmotortv/shorts,
@dedeinoen8868,https://www.youtube.com/@dedeinoen8868/shorts,
@BRAMATYOCHANNEL,https://www.youtube.com/@BRAMATYOCHANNEL/shorts,
@GerryGirianza,https://www.youtube.com/@GerryGirianza/shorts,
@djoleng,https://www.youtube.com/@djoleng/shorts,
@tanboykun,https://www.youtube.com/@tanboykun/shorts,
@ardhimotovlog1078,https://www.youtube.com/@ardhimotovlog1078/shorts,
